nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median,cell
64,7,22641,2000,127,0,shot-only,0,0.997429,1.028,0.996994,0.00271429,0.0155,0.000658398,0.000666502,ns64_slope1.0_sc0.4
64,9,22641,2000,127,0,shot-only,0,0.993504,1.02126,0.998522,0.00283333,0.024,0.000749379,0.000740574,ns64_slope1.0_sc0.4
64,11,22641,2000,127,0,shot-only,0,0.994426,1.03326,0.994176,0.00263636,0.0245,0.000960588,0.000967298,ns64_slope1.0_sc0.4
64,3,22641,2000,127,0.4,clustered,1,3.97439,4.01556,3.87741,0.421167,0.792,0.0137399,0.00342776,ns64_slope1.0_sc0.4
64,5,22641,2000,127,0.4,clustered,1,2.9814,3.98645,3.36627,0.3228,0.865,0.00889021,0.00308012,ns64_slope1.0_sc0.4
64,7,22641,2000,127,0.4,clustered,1,2.98996,3.94081,3.24039,0.286214,0.867,0.00894421,0.00319371,ns64_slope1.0_sc0.4
64,9,22641,2000,127,0.4,clustered,1,2.20664,3.91552,2.95896,0.234167,0.871,0.00878049,0.0035473,ns64_slope1.0_sc0.4
64,11,22641,2000,127,0.4,clustered,1,2.13378,3.86916,2.73397,0.194545,0.8865,0.00877138,0.00463431,ns64_slope1.0_sc0.4
64,3,22641,2000,127,0,shot-only,0,0.99136,0.994638,0.989959,0.0015,0.004,0.000696499,0.000714856,ns64_slope1.5_sc0.2
64,5,22641,2000,127,0,shot-only,0,1.00994,1.01873,1.00381,0.0026,0.012,0.000654722,0.000642686,ns64_slope1.5_sc0.2
64,7,22641,2000,127,0,shot-only,0,1.00389,1.04075,1.00239,0.00328571,0.0205,0.000660439,0.000666441,ns64_slope1.5_sc0.2
64,9,22641,2000,127,0,shot-only,0,0.99024,1.02309,0.997475,0.00311111,0.0245,0.000757681,0.00074058,ns64_slope1.5_sc0.2
64,11,22641,2000,127,0,shot-only,0,1.00577,1.02353,1.00299,0.00304545,0.029,0.000968558,0.000967144,ns64_slope1.5_sc0.2
64,3,22641,2000,127,0.2,clustered,1.5,7.1844,7.4042,7.14555,0.659833,0.961,0.0128217,0.0017695,ns64_slope1.5_sc0.2
64,5,22641,2000,127,0.2,clustered,1.5,5.37458,7.5836,6.21635,0.5639,0.983,0.00826992,0.0015894,ns64_slope1.5_sc0.2
64,7,22641,2000,127,0.2,clustered,1.5,5.42544,7.0651,5.93191,0.526786,0.988,0.00836449,0.00164597,ns64_slope1.5_sc0.2
64,9,22641,2000,127,0.2,clustered,1.5,3.39023,7.12175,5.44321,0.440889,0.9935,0.00810045,0.00182934,ns64_slope1.5_sc0.2
64,11,22641,2000,127,0.2,clustered,1.5,3.36095,7.26421,4.92678,0.354045,0.9925,0.00594889,0.00238683,ns64_slope1.5_sc0.2
64,3,22641,2000,127,0,shot-only,0,0.987129,1.0143,0.989859,0.00116667,0.0035,0.000689854,0.000714913,ns64_slope1.5_sc0.4
64,5,22641,2000,127,0,shot-only,0,1.00196,1.02885,1.00091,0.0019,0.0095,0.000637299,0.000642802,ns64_slope1.5_sc0.4
64,7,22641,2000,127,0,shot-only,0,0.996191,1.02129,1.00151,0.00285714,0.0185,0.000663286,0.000666451,ns64_slope1.5_sc0.4
